Index,X,Y,Z,Target_X,Target_Y,Target_Z
217,-0.235999,-0.0247992,0.599548,-0.21436,-0.0248534,0.59964
218,-0.235825,-0.0247994,0.599548,-0.21436,-0.0248534,0.59964
219,-0.235655,-0.0247996,0.599548,-0.21436,-0.0248534,0.59964
220,-0.23549,-0.0247998,0.599548,-0.21436,-0.0248534,0.59964
221,-0.23533,-0.0248,0.599548,-0.21436,-0.0248534,0.59964
222,-0.23517,-0.0248001,0.599548,-0.21436,-0.0248534,0.59964
223,-0.235012,-0.0248003,0.599548,-0.21436,-0.0248534,0.59964
224,-0.234856,-0.0248005,0.599549,-0.21436,-0.0248534,0.59964
225,-0.234702,-0.0248007,0.599549,-0.21436,-0.0248534,0.59964
226,-0.234551,-0.0248009,0.599549,-0.21436,-0.0248534,0.59964
227,-0.234401,-0.0248011,0.599549,-0.21436,-0.0248534,0.59964
228,-0.234253,-0.0248013,0.599549,-0.21436,-0.0248534,0.59964
229,-0.234107,-0.0248015,0.59955,-0.21436,-0.0248534,0.59964
230,-0.233963,-0.0248017,0.59955,-0.21436,-0.0248534,0.59964
231,-0.233821,-0.024802,0.59955,-0.21436,-0.0248534,0.59964
232,-0.23368,-0.0248022,0.59955,-0.21436,-0.0248534,0.59964
233,-0.233539,-0.0248024,0.599551,-0.21436,-0.0248534,0.59964
234,-0.233399,-0.0248026,0.599551,-0.21436,-0.0248534,0.59964
235,-0.23326,-0.0248028,0.599551,-0.21436,-0.0248534,0.59964
236,-0.233122,-0.024803,0.599551,-0.21436,-0.0248534,0.59964
237,-0.232985,-0.0248033,0.599552,-0.21436,-0.0248534,0.59964
238,-0.232849,-0.0248035,0.599552,-0.21436,-0.0248534,0.59964
239,-0.232714,-0.0248037,0.599552,-0.21436,-0.0248534,0.59964
240,-0.232579,-0.024804,0.599553,-0.21436,-0.0248534,0.59964
241,-0.232446,-0.0248042,0.599553,-0.21436,-0.0248534,0.59964
242,-0.232312,-0.0248044,0.599553,-0.21436,-0.0248534,0.59964
243,-0.232179,-0.0248046,0.599554,-0.21436,-0.0248534,0.59964
244,-0.232046,-0.0248049,0.599554,-0.21436,-0.0248534,0.59964
245,-0.231914,-0.0248051,0.599554,-0.21436,-0.0248534,0.59964
246,-0.231782,-0.0248053,0.599555,-0.21436,-0.0248534,0.59964
247,-0.231651,-0.0248056,0.599555,-0.21436,-0.0248534,0.59964
248,-0.231519,-0.0248058,0.599555,-0.21436,-0.0248534,0.59964
249,-0.231389,-0.0248061,0.599556,-0.21436,-0.0248534,0.59964
250,-0.231258,-0.0248063,0.599556,-0.21436,-0.0248534,0.59964
251,-0.231128,-0.0248065,0.599556,-0.21436,-0.0248534,0.59964
252,-0.230998,-0.0248068,0.599557,-0.21436,-0.0248534,0.59964
253,-0.230868,-0.024807,0.599557,-0.21436,-0.0248534,0.59964
254,-0.230739,-0.0248073,0.599557,-0.21436,-0.0248534,0.59964
255,-0.230609,-0.0248075,0.599558,-0.21436,-0.0248534,0.59964
256,-0.23048,-0.0248077,0.599558,-0.21436,-0.0248534,0.59964
257,-0.230351,-0.024808,0.599558,-0.21436,-0.0248534,0.59964
258,-0.230222,-0.0248082,0.599559,-0.21436,-0.0248534,0.59964
259,-0.230093,-0.0248085,0.599559,-0.21436,-0.0248534,0.59964
260,-0.229965,-0.0248087,0.59956,-0.21436,-0.0248534,0.59964
261,-0.229836,-0.0248089,0.59956,-0.21436,-0.0248534,0.59964
262,-0.229708,-0.0248092,0.59956,-0.21436,-0.0248534,0.59964
263,-0.22958,-0.0248094,0.599561,-0.21436,-0.0248534,0.59964
264,-0.229451,-0.0248097,0.599561,-0.21436,-0.0248534,0.59964
265,-0.229323,-0.0248099,0.599561,-0.21436,-0.0248534,0.59964
266,-0.229195,-0.0248101,0.599562,-0.21436,-0.0248534,0.59964
267,-0.229067,-0.0248104,0.599562,-0.21436,-0.0248534,0.59964
268,-0.228939,-0.0248106,0.599563,-0.21436,-0.0248534,0.59964
269,-0.228811,-0.0248109,0.599563,-0.21436,-0.0248534,0.59964
270,-0.228683,-0.0248111,0.599563,-0.21436,-0.0248534,0.59964
271,-0.228556,-0.0248114,0.599564,-0.21436,-0.0248534,0.59964
272,-0.228428,-0.0248116,0.599564,-0.21436,-0.0248534,0.59964
273,-0.2283,-0.0248118,0.599564,-0.21436,-0.0248534,0.59964
274,-0.228172,-0.0248121,0.599565,-0.21436,-0.0248534,0.59964
